collection_date,callsign,flag,mmsi,current_position,cord_n,cord_w,pos_recieved,speed,status,destination,ETA,reference
2021-06-03,DRHN,Germany,211210120,Baltic Sea,54.47155,9.86792,15 days ago  ,1.7,-,-,-,https://www.vesselfinder.com/?mmsi=211210120
2021-06-03,CGAR,Canada,316160000,North America West Coast,48.40237,123.4599,2 mn ago  ,0.2,At anchor,-,-,https://www.vesselfinder.com/?mmsi=316160000
2021-06-03,NLRK,United States (USA),369970709,US East Coast,30.39128,81.41126,322 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=369970709
2021-06-03,NMAM,United States (USA),368926267,North America West Coast,32.66464,117.12284,8 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=368926267
2021-06-03,DRDF,Germany,211931000,Baltic Sea,54.32824,10.16893,136 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=211931000
2021-06-03,DRDF,Germany,211931000,-,-,-,136 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=211931000
2021-06-03,PWLI,Brazil,710466000,South America East Coast,22.86767,43.13714,17 hours ago  ,0.0,-,"Rio de Janeiro, Brazil","Sep 29, 15:00",https://www.vesselfinder.com/?mmsi=710466000
2021-06-03,QOJDM,United States (USA),369970347,US East Coast,36.93973,76.33307,1 mn ago  ,0.2,Moored,-,-,https://www.vesselfinder.com/?mmsi=369970347
2021-06-03,SLFP,Sweden,266033000,Baltic Sea,56.1598,15.57694,7 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=266033000
2021-06-03,PAPK,Netherlands,244428000,North Sea,52.9513,4.78733,17 days ago  ,0.2,-,-,-,https://www.vesselfinder.com/?mmsi=244428000
2021-06-03,SQWJ,Poland,261249000,Baltic Sea,54.54275,18.5208,244 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=261249000
2021-06-03,SRWL,Poland,261225000,Baltic Sea,54.37083,18.6437,2 days ago  ,3.1,-,"Gdynia, Poland","May 18, 13:00",https://www.vesselfinder.com/?mmsi=261225000
2021-06-03,ADMZ,United States (USA),366957000,US East Coast,36.96887,76.43848,13 days ago  ,15.9,-,-,-,https://www.vesselfinder.com/?mmsi=366957000
2021-06-03,-,Spain,224965000,North East Atlantic Ocean,36.71086,6.98882,71 days ago  ,13.9,-,-,-,https://www.vesselfinder.com/?mmsi=224965000
2021-06-03,SZAG6,Greece,237717300,Aegean Sea,37.94185,23.62583,36 days ago  ,0.4,-,-,-,https://www.vesselfinder.com/?mmsi=237717300
2021-06-03,FAD5252,France,227402020,West Mediterranean,43.13518,5.75741,22 hours ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=227402020
2021-06-03,EBBM,Spain,225335000,West Mediterranean,37.53875,0.844,203 days ago  ,28.5,-,-,-,https://www.vesselfinder.com/?mmsi=225335000
2021-06-03,YCAQ,Indonesia,525007006,South East Asia,1.16189,103.99559,5 mns ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=525007006
2021-06-03,PANC,Netherlands,245887000,North Sea,52.95594,4.77937,13 days ago  ,15.4,-,-,-,https://www.vesselfinder.com/?mmsi=245887000
2021-06-03,PAOA,Netherlands,245233000,North Sea,52.99617,4.78513,30 days ago  ,61.3,-,-,-,https://www.vesselfinder.com/?mmsi=245233000
2021-06-03,PAAF,Netherlands,244830806,North Sea,51.79475,4.6183,3 mns ago  ,0.2,Moored,-,-,https://www.vesselfinder.com/?mmsi=244830806
2021-06-03,OVFI,Denmark,219030000,North Sea,58.81092,0.38173,8 days ago  ,22.2,-,-,-,https://www.vesselfinder.com/?mmsi=219030000
2021-06-03,OVKJ,Denmark,219000546,Aegean Sea,36.61812,27.84077,12 days ago  ,12.8,-,-,-,https://www.vesselfinder.com/?mmsi=219000546
2021-06-03,NBBG---,United States (USA),369977000,US East Coast,36.94099,76.33252,4 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=369977000
